genre,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11
classical,6763.234682004096,4968.626832702351,-8472.886839853465,-2595.0689275201303,-6986.199473233549,-969.8717518067573,-2472.7192131902607,-2783.03296806871,-5890.200031003291,-1853.9504956608635,-4259.817700449533,-2956.6528034036355
classical,6765.538923177045,6107.099600331284,-4740.785449384582,406.4055970376207,-8269.077384113583,-571.905987995864,-1630.1421965279385,-3105.432298552894,-6323.387237093304,-1214.6300967888542,-4865.569555536424,-2189.5316409502166
classical,6783.441152538052,7621.651160465175,-3841.571322144537,2284.4470249825495,-5148.404821064566,-1727.901402975779,-3132.3444692917224,-571.5725964405387,-5657.004424159848,-2173.684896484938,-2349.349437023305,-78.33023094168352
classical,7607.642491944133,7029.854052054984,-4309.60384126726,8936.578127788987,-8092.782149574495,-753.8447198757576,209.4339165003913,1405.7423417012349,-7125.253505622521,644.9414939550619,-4568.031867902093,4583.1803737709615
classical,8453.925199616686,5543.25129552172,-11691.389212672817,7032.16031027124,-8561.817718597546,810.9566367505296,-2219.106015726496,-1361.463771963517,-6308.040923147197,1105.3403497082577,-5148.780117748503,-771.144368181594
classical,6908.600654342191,6358.507829225425,-11768.075615726242,-4990.328574213068,-4721.583199919924,-515.1524693528343,-9205.053840630468,-3149.1920127057233,-1213.5297451336291,278.42723648172694,-5688.333296660956,617.6664633058588
classical,7367.64986831532,5768.997987370441,-13355.188460976919,-5980.762581847711,-6472.739536344556,-1078.722742852811,-10287.045666651398,-5484.449482157219,-1153.6894503274484,-142.8682058968397,-6826.454912171407,1676.2498382458364
classical,7531.184340387288,7355.896442943366,-12979.105966777497,-7237.96441726142,-7830.812592147012,-2942.44001712588,-9592.268515341031,-3776.2379989366723,882.1549036395701,457.89500784871694,-5869.919011193051,2265.032458238165
classical,7750.63281782685,6759.623119605486,-13431.65947396256,-7856.892471055351,-8912.291267428478,-2870.3781492711364,-10233.994301594292,-4874.21432872139,-573.8561703386093,1252.9126312015262,-3598.5663476081522,3842.0958168084157
classical,7401.6032645767655,5650.046643969252,-13651.403216834098,-5940.214884480546,-6338.269834222057,-456.7710637519615,-11037.567002270504,-6575.491937454072,-1109.8666003632825,647.1612769943869,-6899.2166590974275,794.8369124851226
