genre,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,feature55,feature56,feature57,feature58,feature59,feature60,feature61,feature62,feature63,feature64,feature65,feature66,feature67,feature68,feature69,feature70,feature71,feature72,feature73,feature74,feature75
classical,6763.234682004096,4968.626832702351,-8472.886839853465,-2595.0689275201303,-6986.199473233549,-969.8717518067573,-2472.7192131902607,-2783.03296806871,-5890.200031003291,-1853.9504956608635,-4259.817700449533,-2956.6528034036355,1226218.0,629216.0,346398.0,221449.0,86458.0,102074.0,75059.0,83841.0,36826.0,34198.0,48679.0,31261.0,28166.0,18127.0,9283.0,21042.0,10145.0,5301.0,6322.0,5185.0,5286.0,2883.0,2275.0,4543.0,1775.0,1771.0,1062.0,1266.0,735.0,388.0,381.0,379.0,13.272383141108657,12.73403339689249,12.005504137697098,11.511847101498807,10.681486628683627,10.446639519809017,10.441208001303577,10.242809528286502,9.799127920810017,9.781074989816755,9.786245738314191,9.629534767154647,9.650965698160846,9.34720393832413,8.84156659593344,9.086776600490722,8.692519128317722,8.241711058874944,8.286077232542532,8.088517479056376,8.062252818286476,7.704399221561023,7.525802712085865,7.674182833359341,7.225213041726535,7.196598636270797,6.7946099507761275,6.829197016695372,6.430609548724415,5.885372788663851,5.881150159276365,5.8758449944864894
classical,7401.6032645767655,5650.046643969252,-13651.403216834098,-5940.214884480546,-6338.269834222057,-456.7710637519615,-11037.567002270504,-6575.491937454072,-1109.8666003632825,647.1612769943869,-6899.2166590974275,794.8369124851226,1788302.0,1300121.0,676741.0,585566.0,468751.0,199960.0,68519.0,47128.0,45615.0,38685.0,33310.0,27406.0,22829.0,19375.0,14548.0,11158.0,9510.0,8314.0,7838.0,6351.0,6031.0,5138.0,4773.0,4297.0,3843.0,3266.0,2454.0,1912.0,1439.0,538.0,505.0,506.0,13.562628424725279,13.732437902806698,13.124426434259037,13.068030833155492,12.860887439026108,11.967361089132085,10.894906060607237,10.553545887039334,10.547335445360769,10.378292055722879,10.245121532001022,10.035056041964737,9.860137732013966,9.688172119986506,9.393788438678946,9.1418237533246,8.976293015777333,8.834763646548918,8.774175144876315,8.575056992456497,8.53557049358825,8.371880548073797,8.290451101522708,8.193446410656007,8.068945124413865,7.912101047660296,7.637856840544947,7.3724786077926305,7.084884588961397,6.2278533181649305,6.190707916259448,6.192670754718895
classical,5840.920388877425,8709.08600772602,-6454.6791305432735,-3937.66482483627,288.4362112615848,2474.1023325167125,-4143.4903377092605,-3111.723389153321,-4448.810925456657,-462.07566798206,-2607.53096979072,-2947.9582725224845,709758.0,208633.0,147409.0,113082.0,56608.0,24290.0,15923.0,10611.0,7361.0,6392.0,3691.0,4519.0,3055.0,3031.0,3022.0,2534.0,2163.0,1844.0,1667.0,1420.0,1421.0,1152.0,1140.0,1021.0,928.0,847.0,762.0,679.0,568.0,214.0,212.0,211.0,12.785246466691845,11.769381052583556,11.430765463514463,11.289062755437325,10.577971028756256,9.832684850711566,9.392965268790451,8.94819179205452,8.667161375270226,8.522966486798977,7.9987461187005735,8.19096289727665,7.821400594979877,7.817359825040143,7.83725841285434,7.66798817651869,7.500625186875469,7.346506125793539,7.229484131375507,7.0866464946104335,7.091798486783134,6.872413291017963,6.854367782113671,6.75447451118469,6.667243067814823,6.573917210022985,6.468702512991152,6.35731874873113,6.168838765937851,5.218150258097365,5.2198837464830685,5.200017518837758
jazz,7693.162680541291,5592.9022544073505,-7709.864649098175,3289.4062260621563,-8754.374280128146,3561.1951381440476,-9178.69234907279,5213.8434281039345,-6695.298616123643,1854.4008552296493,-2893.56461435374,6347.83750704004,3924152.0,1636938.0,789778.0,366464.0,400625.0,241408.0,203597.0,144830.0,72341.0,83771.0,60857.0,61843.0,54009.0,47023.0,43282.0,34807.0,29598.0,26217.0,23132.0,21591.0,15885.0,14172.0,12507.0,6766.0,3765.0,4287.0,4536.0,2894.0,2659.0,1982.0,1969.0,1965.0,14.528903432897806,13.830575993352083,13.21352561680122,12.439172129836397,12.44634278443153,12.102824841998066,11.918999076412016,11.627316016091982,10.955269248963463,11.111382704554481,10.835193582067047,10.828990305091498,10.68826386551333,10.56235762493398,10.468803746043529,10.275565896140616,10.10854950371777,9.989330610303915,9.866756256760503,9.786631272558008,9.478643606372305,9.374838320662699,9.25499705454461,8.48870528796997,8.023818232813136,8.084682237856997,8.20812690710963,7.806520956135205,7.784619822818218,7.589660713230465,7.583360534650929,7.581150414752564
jazz,7912.695208581085,10433.448195268113,-10532.177211028358,4136.588502505522,-9965.928350341326,-6013.318330644314,-6488.199886705764,-6797.00356763122,-3597.8943681185256,-3705.7956216460325,-1330.895475451763,-542.391002027666,6427987.0,2636521.0,961405.0,771150.0,654036.0,551240.0,355172.0,214170.0,136941.0,75851.0,59624.0,44429.0,34487.0,25133.0,19070.0,15617.0,12737.0,11737.0,10699.0,10193.0,9746.0,9415.0,9127.0,8922.0,8729.0,8566.0,8441.0,8353.0,8258.0,8201.0,8143.0,8126.0,15.128512564860134,14.36892432012612,13.521629913089038,13.376974978567032,13.214418549047878,13.03856644447292,12.599817333138493,12.092841238974039,11.645150105784033,11.056214792061422,10.828818881814026,10.529494484544175,10.283292446769915,9.961224426100928,9.699651883408066,9.502350793037639,9.349511546119782,9.291175783136435,9.240997899027766,9.20701644605318,9.175201352361842,9.143973054930873,9.115697569814635,9.094420201212463,9.072969285386563,9.054384014808182,9.039831546375835,9.029357042749485,9.01787539661667,9.011265908084898,9.00450230266753,9.002456749050786
jazz,7956.136835400263,10391.791524835862,-10465.372746312745,4319.910985422033,-10094.00016824353,-6150.440035041382,-7097.701105213396,-8031.492191792069,-4698.316833665685,-3994.8564150685647,-1318.3843353488585,-1056.3163154049219,5986187.0,2850568.0,870933.0,685605.0,560704.0,453629.0,306246.0,174884.0,118850.0,72846.0,57682.0,41742.0,31190.0,21794.0,15499.0,11482.0,8005.0,6558.0,5233.0,4634.0,4189.0,4007.0,3854.0,3735.0,3616.0,3576.0,3519.0,3475.0,3431.0,3405.0,3376.0,3376.0,15.030408007590156,14.392109507840999,13.360664103783693,13.24227817035446,13.051871218772751,12.857042340093255,12.434358845660528,11.893843484473885,11.503729278682068,11.016922105626328,10.797381638979747,10.457505103538379,10.176960524968736,9.811112649343148,9.481063355153303,9.175767182347347,8.82747133231369,8.636166385648401,8.441723650593982,8.343650678517637,8.287970340380241,8.265002317290092,8.24066043919161,8.21503259581389,8.184806793788097,8.175738125135148,8.159883885298719,8.14749001845452,8.134239533441397,8.128504675640743,8.122025351736427,8.122277843054091
jazz,8005.342503471652,10720.428712857285,-11251.338350345024,1337.6081601552132,-11413.05462330667,-5951.618224719341,-4962.216690103805,-4719.847213715933,-813.7564196553931,-1601.9589061528898,-837.3790894798399,-1173.3203926490612,5412847.0,3565323.0,1064201.0,721750.0,551212.0,464455.0,275783.0,171251.0,112857.0,67551.0,52711.0,37825.0,28067.0,20758.0,14171.0,10467.0,7171.0,5885.0,4429.0,3860.0,3442.0,3225.0,3090.0,2996.0,2910.0,2853.0,2816.0,2784.0,2762.0,2726.0,2703.0,2683.0,14.968814934772677,14.621656374642928,13.52345246220469,13.241652558087413,13.046988216753432,12.85583369556852,12.342059215076402,11.87892919691423,11.45520038043,10.944034941337405,10.705449926601858,10.369310290370278,10.06484670033718,9.762615478418,9.39614343961587,9.084888989339312,8.707889808477185,8.508514545859338,8.255900807513559,8.136737186139372,8.075503888634305,8.033417805273118,8.011253322573706,7.989055274820149,7.963291178847048,7.945749805261792,7.932388479741647,7.922177994090055,7.913246568287497,7.903721164767281,7.898108739836428,7.89110648033938
jazz,8020.720813650604,10866.17231000119,-10732.156474088919,2586.0818138347445,-10829.946351892073,-6771.495439547621,-6742.5026637462925,-6395.365920121215,-2497.3793439473006,-2793.2867628663666,-2005.8054341097693,-2763.564131588013,6142848.0,3197384.0,946255.0,813790.0,634995.0,587637.0,353103.0,197086.0,124815.0,68846.0,55247.0,39006.0,29958.0,21168.0,14403.0,11166.0,8191.0,6808.0,5466.0,5064.0,4645.0,4452.0,4281.0,4159.0,4069.0,3993.0,3920.0,3889.0,3844.0,3813.0,3778.0,3774.0,15.071966632729106,14.544775243511973,13.484085897438263,13.403897729077876,13.186389373540466,13.099971342970104,12.570802743678795,12.012865508609753,11.551676938062014,10.959965901725742,10.758772892841408,10.392392621961854,10.140339499744265,9.782857673608207,9.400240597394873,9.149160383250331,8.858444398013749,8.671763855569528,8.496083990902193,8.451488552166506,8.405391307294597,8.37651402510504,8.348932560942014,8.324075129747294,8.30491035761439,8.286661630541566,8.2684335180063,8.26081921085395,8.249257927131278,8.242327521199611,8.235005813493977,8.233957407392012
jazz,8008.015731575328,11068.71597731417,-10137.73287820601,2914.5952113874573,-9814.607710526887,-6786.855700155699,-6649.350606301371,-6428.01268649547,-2665.95758973002,-3499.6559325991534,-2887.6342621145172,-3125.5975581819066,6177586.0,2878343.0,930217.0,813054.0,638095.0,491382.0,353008.0,205890.0,117890.0,63302.0,49581.0,35360.0,25978.0,19017.0,12787.0,9633.0,6698.0,5321.0,4164.0,3526.0,3101.0,2954.0,2764.0,2731.0,2640.0,2573.0,2555.0,2522.0,2487.0,2456.0,2422.0,2425.0,15.020816984577108,14.449655976486232,13.49374794651092,13.390953738751728,13.193005878571617,12.932267658316917,12.590727377033746,12.040377877161333,11.502765614496049,10.874599490282053,10.646923616541486,10.304259219539778,9.991083400082825,9.673451482452915,9.283745749681078,9.000504433011237,8.649098520232638,8.410179544316296,8.188782584186058,8.045688810861806,7.963513885363644,7.939352410101111,7.895237661045054,7.893540765408824,7.863478633081053,7.840056192650853,7.833040710733132,7.820875095202057,7.806283236082201,7.797137597410484,7.787218973898131,7.7887603341619265
jazz,6828.243212660515,2282.7660086538067,2966.5518253911355,1049.502566916811,5624.723581918792,-4494.15342009945,1636.919361578754,-1377.469908119351,-325.99615847190717,-2058.912557777921,-1253.2203276512619,-405.81420815530134,3544243.0,1555457.0,1204610.0,916275.0,955619.0,1176948.0,906651.0,633569.0,494680.0,370980.0,248993.0,144192.0,40506.0,16282.0,11260.0,5946.0,6894.0,6626.0,6791.0,6904.0,6614.0,6743.0,6820.0,5893.0,6102.0,8452.0,9232.0,9502.0,10007.0,10106.0,7751.0,7141.0,14.725964724111583,14.022595202867945,13.72724983703899,13.43312054660806,13.405410956528321,13.696832948098045,13.400574839316954,13.12386056363788,12.842912369751687,12.48201486827263,12.104806968417,11.566414674808485,10.257748562780993,9.511642822041063,9.106182164942837,8.527177803982688,8.672752146310156,8.620932129335724,8.66430282556371,8.671780959064844,8.629604991057342,8.64357762929282,8.663158558577924,8.514083031774534,8.55102151796755,8.871372285538566,8.956344629431205,8.990724770036513,9.05084834427065,9.051790856790682,8.782293154262907,8.70792861294588
