genre,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,feature55,feature56,feature57,feature58,feature59,feature60,feature61,feature62,feature63,feature64,feature65,feature66,feature67,feature68,feature69,feature70,feature71,feature72,feature73,feature74,feature75
blues,9153.381543045383,-1635.3337708399538,-6829.903754181059,3089.273676423505,-7501.188460647752,9.655241045352593,-9216.934535971159,3250.1790292001547,-8541.77470740238,3045.7311428014336,-5064.305801511068,3686.7141400340174,4275367.0,4739940.0,2330577.0,1528747.0,978196.0,858325.0,761363.0,571768.0,471087.0,531313.0,393380.0,309041.0,347256.0,289946.0,268285.0,220375.0,219861.0,197328.0,196884.0,181495.0,238773.0,179118.0,131905.0,90065.0,87138.0,129998.0,48638.0,23299.0,8647.0,5081.0,4831.0,4814.0,14.913179756632536,15.110578957327164,14.458971718043978,14.01526874534615,13.554778522374624,13.423367301774523,13.272255258184101,13.043854538353866,12.87780280571701,12.987661526507335,12.687617295255391,12.463161048209818,12.577442305984071,12.402130513404012,12.329728704178047,12.125570356789042,12.121431623193752,12.020865542626982,12.006951991905625,11.9303266314357,12.201252646578311,11.914625844779549,11.606442333320144,11.224098562705747,11.190465379759416,11.592533513324454,10.55969363693172,9.86862038241707,8.845895345009234,8.486798688966543,8.480924346931632,8.479217643768754
blues,8144.274208019138,-285.27061574693556,70.50778370113,2342.736128414965,-6077.690741654209,3745.5408983064576,-10261.971125533559,8328.974891154452,-11202.323733576304,2782.870786615811,-5525.221794520048,2068.9889861665415,3442514.0,2360355.0,1183002.0,761485.0,346793.0,272910.0,204561.0,172273.0,127433.0,193794.0,107902.0,98943.0,102158.0,99564.0,91663.0,79451.0,109146.0,146149.0,238167.0,193071.0,228317.0,192387.0,126041.0,117074.0,92053.0,98770.0,43861.0,12757.0,3821.0,1059.0,744.0,741.0,14.597195913554188,14.35243977340763,13.735079519529714,13.287632204871029,12.443434032166818,12.325495110099958,12.022531704059627,11.838338240596983,11.555694838431995,11.958566711562144,11.409546527943503,11.330331291321343,11.383926352059925,11.334540725043702,11.242201204534483,11.108989059744774,11.414046639747097,11.694758337430152,12.188113208390604,11.994333344800943,12.168979512247706,11.97924461401982,11.58580245938223,11.483668151915253,11.246922152389184,11.322332982201953,10.442461911653053,9.2317542764974,7.985290222783588,6.804287093382305,6.59152161530306,6.603936940944644
blues,9374.64448304766,1574.3599370022102,-10642.805526671073,2151.1324574151113,-9586.172352445234,3140.2966627000465,-9827.722956176873,-1716.3905168063543,-11609.027350954455,701.7050161134672,-9700.671075663415,-1456.6646765148246,5641832.0,4157793.0,2861360.0,2046328.0,1883072.0,1461042.0,1030577.0,729372.0,443271.0,837723.0,1086488.0,426200.0,339865.0,306892.0,277094.0,263279.0,246785.0,243525.0,202870.0,183837.0,183803.0,117443.0,104885.0,80612.0,82553.0,54250.0,34376.0,16914.0,6224.0,4126.0,3970.0,3954.0,15.076670343803352,14.981404594744669,14.630489270192188,14.294860466923664,14.205922245695124,13.959975956491759,13.642617962649704,13.313549115317556,12.81255048976824,13.34107945372782,13.558511052498865,12.786206829569979,12.561859686402082,12.462403673064443,12.362701365935054,12.318923843205269,12.246534069673514,12.230078991567106,12.053356012138273,11.94801256139953,11.956418289559334,11.506461613669055,11.378398565835361,11.137063562591951,11.155481438735338,10.734130129277506,10.263886208292982,9.505662336951419,8.56806440120129,8.292630711501095,8.28545171960544,8.282515181526863
blues,8317.711732277761,2944.5030163411802,-1733.712040178024,1773.2699851703408,-4731.133713781399,5929.519582030503,-7745.637495505989,3853.854726785761,-5689.1757184870785,8136.230690967795,-5893.632095283885,3944.273883681623,5120169.0,2586576.0,968165.0,533631.0,541363.0,354869.0,256303.0,219139.0,144706.0,165050.0,197042.0,172635.0,132945.0,139783.0,114699.0,119503.0,106825.0,114259.0,118641.0,121615.0,123254.0,94754.0,87149.0,80602.0,69780.0,51888.0,22690.0,10021.0,3434.0,1646.0,1547.0,1543.0,14.913143328487692,14.498487703473373,13.52741245597138,12.968736636977013,12.993427996251016,12.5270597083171,12.271124555149079,12.090762031058246,11.697396841223616,11.84337885024913,12.022237167555586,11.886801741716733,11.619845318573276,11.675299859496716,11.47298794901394,11.525129086020563,11.40159862464956,11.484545653559646,11.516509351979979,11.545895318503879,11.561887325546328,11.284774486823508,11.205595091931825,11.112132279862259,10.991849883846584,10.668721078298036,9.832098008320445,8.991272014432841,7.929369487201017,7.347829974373337,7.3419968197896175,7.340526725417577
blues,8937.574789258659,-1225.001292258554,-14724.570901070865,-1054.12528087395,-18330.99420613274,120.10966806723914,-13403.011148891428,-3159.394211208509,-9534.226671145187,1544.4834909538495,-9548.075527902665,-17.117430358914437,1457226.0,2327979.0,1863049.0,2181837.0,1324177.0,1855111.0,499321.0,611631.0,322475.0,583689.0,506903.0,445282.0,328334.0,344861.0,383967.0,384135.0,271173.0,244547.0,177028.0,149361.0,110008.0,86978.0,69564.0,62948.0,48612.0,25388.0,14133.0,4809.0,1948.0,898.0,848.0,846.0,13.739357252467059,14.382240169102058,14.190331398313413,14.320656134116582,13.784037403559559,14.098975893717531,12.915296424108192,13.085189741817606,12.495699655172855,13.053349910928063,12.906453029220208,12.807348505506113,12.498346598664677,12.529874293987346,12.566513934705316,12.661594982834925,12.32954276097797,12.201864630657935,11.906472139487605,11.743468914198537,11.43888016706525,11.19697348179879,10.98138300742438,10.873158499528769,10.617617763583922,9.927193879022981,9.370310705987915,8.250382522215329,7.3296857704759315,6.7465735321071145,6.737584353279682,6.7379505187786295
blues,8031.422794229705,3263.0322531053034,-6885.522758298935,2302.2040017673908,-11224.969864443057,2348.693647443224,-14491.853102791532,-759.1770004328285,-10808.513167306815,-397.6026698296887,-12360.097272182504,609.5730624760199,1818943.0,1468266.0,1198112.0,535940.0,394331.0,376655.0,259383.0,228529.0,182455.0,159523.0,142338.0,156359.0,150634.0,139436.0,91792.0,91750.0,80947.0,66364.0,66226.0,74896.0,67501.0,60652.0,39535.0,33110.0,23186.0,15220.0,10281.0,4654.0,1341.0,573.0,419.0,407.0,13.850357324182495,13.699697929619711,13.548689445518566,12.734791358601198,12.596944861146396,12.551686492648175,12.199620980566648,12.076665521897732,11.863655681320566,11.759473507348668,11.66555142288544,11.749710520790327,11.709902332650412,11.6266402786881,11.2336548250936,11.236707462362528,11.119821068256458,10.900991440743406,10.914667753014376,11.053583542478945,10.919978617961341,10.741050522842928,10.405732019376735,10.235943381227427,9.882828036110341,9.451150369108351,9.066180819886046,8.254286508653127,6.942166969369469,6.199353240806012,6.013995789958249,5.995622750834867
blues,8694.738035174241,5980.754907489942,-15483.815352395335,1723.0950841211525,-6377.700380350792,-3453.3683270162705,-17859.66543731411,327.5330782036584,-10066.10035536852,-9.76035951505583,-11165.469705963775,-2936.9877965539526,2904249.0,3789243.0,3178860.0,2110980.0,1742481.0,1678880.0,1669345.0,1209186.0,548120.0,393617.0,411591.0,509568.0,299679.0,179487.0,131971.0,100669.0,133666.0,239886.0,222666.0,100071.0,78412.0,80396.0,54805.0,33078.0,26090.0,16848.0,6975.0,3031.0,1623.0,1414.0,1406.0,1394.0,14.192708834941161,14.831976718250433,14.601906126035793,14.250026700443359,13.982974194495094,14.007019340142923,14.098450169405057,13.740831666282984,12.991802889242576,12.580906762523558,12.70653590380521,12.973656823367458,12.415318426847172,11.925779017913639,11.61380688393069,11.314283381586177,11.604210831234267,12.220249059398345,12.127600590220851,11.31560256610787,11.084383569325595,11.09970959742719,10.73030292573545,10.236521375225731,9.999378403536683,9.512762023228106,8.642252860619918,7.824459908348452,7.312564200413263,7.248579091551462,7.247536615701347,7.239124468766738
blues,9006.280103298337,2930.9560055871784,-10730.741417937294,4508.579370286401,-9694.274342924455,805.2420333361598,-17079.575181581422,5245.440493387055,-13565.77680959986,-3973.214477936438,-10234.841204755785,-2757.8280718778815,4475653.0,3982735.0,5361267.0,3601140.0,1363232.0,832478.0,1074612.0,1120541.0,765823.0,1010384.0,694949.0,781253.0,303944.0,162683.0,220967.0,310406.0,409635.0,294128.0,244343.0,141314.0,139500.0,143276.0,129246.0,82720.0,79030.0,35367.0,17055.0,5688.0,1712.0,486.0,295.0,288.0,14.657512699064313,14.979940340908962,15.363164227081652,14.85077475564739,13.925567451110673,13.399669037869723,13.64177903461522,13.747866858089129,13.36531941989845,13.665125265421201,13.28430515071836,13.374918261191876,12.390549218580038,11.828793824058327,12.108356906520802,12.486793415484016,12.750839687962586,12.405426875559586,12.194869609577065,11.691808977900486,11.678624899789602,11.707352891893574,11.587132906538978,11.142114415656161,11.100189710460084,10.28773633361006,9.471731898106569,8.433220831165716,7.2210673244666514,5.995148234805375,5.642044249658547,5.6317586580024335
blues,9124.387122999997,-841.4948823764043,-6808.724805173128,5346.364147254452,-4790.325419054616,3326.5646645369006,-10298.755925752013,7352.064343325287,-6844.7827113056455,7425.341467877252,-6413.321691541335,649.0057994484374,4970328.0,2538990.0,2301849.0,1044417.0,896457.0,823568.0,664616.0,634142.0,597675.0,662273.0,393845.0,316624.0,229601.0,293146.0,299037.0,232010.0,197513.0,228029.0,192321.0,183382.0,179029.0,183641.0,174378.0,153249.0,87897.0,56811.0,30372.0,15736.0,7759.0,6579.0,6552.0,6573.0,14.78591549863984,14.461843407407205,14.404838951961631,13.668816225120677,13.500820117130715,13.21254413735748,13.153811168747822,13.11495344966578,13.093980563635633,13.243711598844635,12.706330957623443,12.491860682135563,12.172793850143806,12.403236021025467,12.43772197631148,12.188452068339153,12.02699834943943,12.152831291557613,11.980842828225962,11.92991355346576,11.902734806103808,11.945670961370741,11.872816905429952,11.721213512742063,11.202229492701933,10.74502920739568,10.077349273659216,9.483089796523501,8.851129711487188,8.783527203352127,8.787329688955802,8.790779109375011
blues,8135.605544935058,-3079.114544035125,-6675.066090148059,2380.2536893839456,-17047.392292453555,590.1362260853128,-10621.296222313224,6403.031106343177,-8928.041814521357,7854.145352906162,-3453.168672422127,2103.543383719405,1262564.0,3075487.0,1882883.0,1705891.0,614114.0,258820.0,296754.0,320435.0,349848.0,418011.0,849642.0,366324.0,144739.0,183910.0,248379.0,201543.0,134342.0,146965.0,199365.0,154609.0,120268.0,95454.0,43541.0,24140.0,16472.0,12008.0,6565.0,2637.0,1141.0,772.0,744.0,740.0,13.655129346150815,14.696723049361317,13.828955300162779,14.170326466824408,12.609528381129655,12.216622116819766,12.329254396204636,12.362142240529828,12.529855960346648,12.633128281395999,13.378684156255856,12.406157657138623,11.701177526458473,11.936337732054414,12.239409473046132,12.033179970712562,11.631173648860642,11.715245711397248,12.037814492950126,11.77969937431658,11.520150377762768,11.292002038478007,10.490208731499843,9.87608387360329,9.536989312709808,9.204271441370969,8.596704562191507,7.667364224015758,6.881952343454187,6.610417880807299,6.607212253665418,6.602863893342879
