genre,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11
classical,3330.4024439292502,-16566.090754857898,-6392.0595267067765,-4487.918384054329,-2159.5134893071054,-5096.119989430507,-4044.8908997975605,-5304.433031487298,-3219.220718367576,-1315.115361497339,403.96763797429657,-2042.7965594588582
classical,-558.4992706821955,-27418.812919892644,-6276.226811827056,-4972.134736727002,-11298.426583784363,-4685.143079477636,320.526596439498,-7194.315184024941,-562.839142319629,2609.8594936428217,1601.7694224605107,528.1336898616478
classical,17071.79540302787,-17890.592840374804,335.1288907190697,433.47432509302894,-5273.384321474251,-4920.796089756415,-2996.477136223948,-4075.7956129593563,-5494.920328807565,-2396.0488568014403,-841.5064926864785,-1641.9246855260578
jazz,3428.2276176772384,-8425.785832789883,-3706.106745181498,-4957.825126071437,-3698.1698717381782,-1476.011347646885,-4215.225982254673,-1698.0820116130158,305.837437959559,-680.8224151936028,-1825.6279690865924,-3063.5742962228264
jazz,11002.462060284492,-11295.077734442437,-4518.855782163862,-13578.623920048467,-6225.599017911533,-7661.934929124469,-2909.4505600433613,-4308.5106679575965,-480.7720855539111,-336.6991826703802,985.1786198908716,-741.3076262809719
jazz,11420.350354328484,-10475.452529348531,-4186.752420487991,-13625.192932247068,-6763.889288922216,-8494.948320471933,-2718.878982214798,-3661.5874649518287,-451.25713235316846,-559.7617668142518,1474.050405071514,159.88522970744714
jazz,12148.78732744562,-15286.622787597107,-7877.357585868419,-13026.129375885195,-4260.937154844404,-4880.591488451133,-589.0449701771472,-3855.1937547046905,-1314.703069121747,-1093.0493318922622,-245.98290303241927,-1353.801246100442
jazz,12870.997094281145,-13041.005652697895,-5996.359421330216,-14115.89853070306,-6314.37824853025,-6396.79519789975,-1247.863811126222,-4201.400050207105,-2217.945759978636,-1251.5677572498594,2157.1547028389195,1187.3278503529598
jazz,13781.43889728738,-12529.101125992796,-5162.119851347752,-14032.961416623199,-6609.496125691602,-6898.61655311727,-2487.5437310663897,-5418.1125278869795,-2647.198436198143,-767.6718038976414,2729.8808608601403,1735.0976487859327
jazz,10243.0010116552,3614.398855043437,6456.573238479039,-3253.086831581167,-914.4763441280776,-1440.66531655628,-2855.6483285171535,-3971.9398484721737,-2272.056373606153,-1765.4161674249424,-1147.7777728910153,-886.7260944338118
jazz,-8890.438774988495,-13509.666262922752,15320.751511403276,-17683.861184898797,2017.5962038257785,-6095.417446408049,-3692.8636991745525,-4922.696886829685,-1334.2014599159822,-3234.164879761991,-277.51490807180267,-1698.290891571149
jazz,-14042.23934063131,-15926.185882256721,16713.6975699863,-18410.20107754185,2161.2566933864177,-6157.334983841052,-2643.897013562845,-5459.5493734212505,-1212.4016832233822,-2875.965696383236,394.63664259248236,-1123.7534762716837
jazz,-24435.455214698268,-19524.32416186972,16040.901734504665,-17095.676177338737,4390.642205265402,-5948.093708120651,87.28268127655457,-5799.117043553386,-274.6847714655111,-3872.0138830973992,106.89922520988952,-1656.188195028875
classical,40643.97030012959,6407.937213087809,-12406.484773611675,-12324.294265360382,-10292.104917484889,-7007.898005469245,-5404.158843813057,-2407.9643453024078,943.2767163934479,2244.3871884508103,2181.5463013364765,830.693712208162
jazz,-15183.133633683954,-28234.334132949632,12413.249613096506,-15359.131836221719,5295.799433538118,-6188.372947073342,-633.0848929605402,-5026.429691892257,-1198.3853763025088,-2913.317972216271,1603.4063082464695,203.43818607354856
jazz,-7345.518963813962,-9253.534467334539,-14106.138335222873,3874.4888353964398,-3204.0108761539823,-6267.693419120137,-3485.5998478724914,-2474.767516253454,-3634.4001913656903,-1585.3096163828527,-790.2291662252535,-821.237764850017
jazz,-8409.677988965592,-9965.685702549887,-8846.303213324065,2150.6076097246582,2294.019169588859,-204.01965306331388,-2563.096942219886,-1977.51500656449,235.99429426996505,-1155.4746669092024,-2329.351358868887,-1719.541743568609
jazz,-16515.449336729296,-15755.367254075065,-14377.569788935873,2813.7714450221283,-2490.22551641866,-2223.298947800797,-1641.302832365564,-4706.0276177656015,502.34637725252793,-14.367982892235279,-86.20855370493084,-2388.9686219038017
jazz,-18453.91913209612,-13712.949972190956,-11832.380101760169,808.7684020629019,-2969.0549615594737,-2233.961584281124,-2181.1558611632686,-2906.585051018573,-1075.4849026940276,-479.83636927544103,-439.9773282134322,-2676.6742302334305
jazz,-18705.172214427515,-14161.70304151206,-11060.236240156706,1721.9097865749115,-2010.9813245565063,-4635.643858201708,-3179.55898079359,-2593.7408784898453,80.79483867822974,655.3729452961423,589.5127237933846,-2070.91075416118
jazz,6354.602620737181,-16171.45380169124,2331.8017746591595,-9466.797464322948,-12172.44276854069,-7620.94304690981,-3256.316480168961,-4539.609678779402,-3641.9132609233607,-3604.618637806741,-1251.200951302,-50.61823487464614
jazz,12863.133301899761,-9581.1551595492,-3169.827063362821,-7959.193827982861,-13013.417237079908,-5459.920243093022,-4883.832738028766,-2925.339751124812,-3278.87827711288,-4502.075340696033,-1734.7022296271089,348.1448984309087
jazz,871.2814286831044,-18376.34348256338,-4179.430871117947,-4920.0281849795865,-8223.613599830087,-5521.315480898118,-5126.348233337396,-1126.8416957922973,-728.2649293275007,-2885.8004161482677,-2098.651357024421,-336.94413213033744
jazz,-2861.7823104310146,-11567.331428754502,-3098.528939032982,-957.513533737721,-5847.909164946479,-5456.866420196688,-4881.188363357968,-1571.1867599903505,-1362.4659527779982,-3829.3901633308433,-2874.47100860835,-899.8412672196496
classical,1428.2376459565403,-18972.573269149412,-5084.203395001606,-9561.282613196901,-8788.504555472735,-7573.262247139074,-4057.4624497161662,-2571.211855974378,-3744.819287117826,-2323.81430268779,2161.0257499382974,3083.9988834521305
