genre,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11
classical,3330.4024439292502,-42499.6965474378,-26201.42354006567,-24995.753796551016,-15002.246009126331,-41805.85763149921,-37671.06123394326,-54390.53633294337,-35430.58853925597,-15195.39879883835,4802.381766796768,-24513.558713506292
classical,-558.4992706821955,-70341.95610963259,-25726.61850896753,-27692.628316077375,-78490.72301019583,-38434.42167179703,2985.1428235515546,-73768.98889750679,-6194.580555329767,30155.419802628014,19041.89233476771,6337.604278339778
classical,17071.79540302787,-45897.65793397719,1373.7128025099432,2414.2634914325777,-36634.45923498735,-40367.593618019055,-27906.926659122608,-41792.34765645819,-60476.82910188823,-27684.961324719745,-10003.859362060544,-19703.096226312668
jazz,3428.2276176772384,-21616.043662096985,-15191.54696690128,-27612.930007359915,-25691.367279746253,-12108.411966394577,-39257.43364311046,-17411.774415984815,3366.032146357496,-7866.50997542626,-21703.130764780526,-36762.891554673944
jazz,11002.462060284492,-28977.106506117416,-18523.052510737612,-75627.03047528962,-43249.541382050505,-62854.43857152654,-27096.426805976167,-44178.55869521935,-5291.354471978637,-3890.3646826040867,11711.838762448033,-8895.691515371667
jazz,11420.350354328484,-26874.38818743931,-17161.741527635393,-75886.39962237605,-46989.070266684925,-69688.03733215865,-25321.58695104012,-37545.144762223834,-4966.514315277251,-6467.724070533682,17523.564075955153,1918.6227564893604
jazz,12148.78732744562,-39217.26853497469,-32289.746617898803,-72549.87612040881,-29600.939166586486,-40037.776454807536,-5485.920310533003,-39530.342779538936,-14469.558805824918,-12629.554023303373,-2924.2535723660917,-16245.614953205286
jazz,12870.997094281145,-33456.22036692954,-24579.425807957385,-78619.41641902151,-43866.29504663186,-52475.905178037225,-11621.661796344188,-43080.26903601921,-24410.604459590686,-14461.142917170486,25644.332464405717,14247.9342042355
jazz,13781.43889728738,-32142.948131001096,-21159.82932021085,-78157.49275937967,-45916.49339769029,-56592.58064411345,-23167.10500641771,-55556.18188686682,-29134.938787999195,-8870.004524596916,32452.921569317346,20821.171785431212
jazz,10243.0010116552,9272.607328660637,26465.86899449619,-18118.279024394295,-6352.91196469339,-11818.451928821452,-26595.353425122354,-40727.43257539397,-25006.143273100643,-20398.3646570713,-13644.823324231576,-10640.71313320573
jazz,-8890.438774988495,-34658.55192559577,62800.650967841546,-98491.41684942992,14016.33967407424,-50003.562415642366,-34392.545555968616,-50476.29450495757,-14684.157157987132,-37368.90813382846,-3299.1071790337533,-20379.490698853795
jazz,-14042.23934063131,-40858.044131836774,68510.41782731925,-102536.8141974801,15014.356133268395,-50511.50095715748,-24623.261482565627,-55981.06655204709,-13343.634668321674,-33230.12335477968,4691.454559081831,-13485.041715260217
jazz,-24435.455214698268,-50088.93555227824,65752.5885912501,-95215.48213367595,30502.00650637245,-48794.99683214819,812.8850227323558,-59462.921745652166,-3023.1673958439137,-44738.88514336447,1270.8218227751713,-19874.25834034649
classical,40643.97030012959,16439.32724269334,-50854.90221713435,-68640.95975268168,-71499.75709269074,-57489.06754949751,-50330.25704931284,-24690.757981891307,10381.658215142183,25932.59829972925,25934.300662044247,9968.324546497939
jazz,-15183.133633683954,-72434.14578768054,50882.63168739079,-85543.68530208075,36790.178116656396,-50766.119897596946,-5896.074915195988,-51539.94878604326,-13189.371867849492,-33661.70733892609,19061.35169169099,2441.2582328825847
jazz,-7345.518963813962,-23739.60234025939,-57821.880958976515,21579.21796464708,-22258.420527579667,-51416.82285759968,-32462.24646326043,-25375.74359207815,-40000.033869242696,-18317.337433534118,-9394.272666249177,-9854.853178200185
jazz,-8409.677988965592,-25566.600141998424,-36261.51106505177,11977.949179437635,15936.663559747489,-1673.6687102506557,-23870.75059644507,-20277.021347054095,2597.341862949729,-13350.842731887424,-27691.41248638092,-20634.500922823318
jazz,-16515.449336729296,-40419.81522377399,-58934.49426476884,15671.48336062235,-17299.71866371777,-18238.76193590351,-15285.855918779402,-48254.613567276225,5528.800089745162,-166.01374782348356,-1024.8503779424607,-28667.623462845626
jazz,-18453.91913209612,-35180.06880515299,-48501.61379723417,4504.488300906127,-20626.170277928722,-18326.23253384815,-20313.639611582064,-29803.509420098955,-11836.73516081756,-5544.232242124686,-5230.466255691971,-32120.09076280115
jazz,-18705.172214427515,-36331.32829980992,-45336.55122746218,9590.288726733925,-13970.385783714346,-38028.35639040196,-29612.012790852757,-26595.671328550456,889.2241122116981,7572.456042491703,7008.14840078896,-24850.929049934148
jazz,6354.602620737181,-41487.26995843876,9558.19101090236,-52725.94517333024,-84562.55626550916,-62518.16297451014,-30326.874212523864,-46548.199158205156,-40082.72235178318,-41649.287448696516,-14874.321778007969,-607.4188184957528
jazz,12863.133301899761,-24580.101176576623,-12993.30537973289,-44329.2485108793,-90404.84709948208,-44790.28139751383,-45484.33238083772,-29995.816155142413,-36087.17676419536,-52018.88155758631,-20622.202313426424,4177.738781170907
jazz,871.2814286831044,-47143.83334109225,-17131.730071200647,-27402.417481741966,-57129.846569392306,-45293.93527070663,-47742.938682038315,-11554.396828586527,-8015.248818247307,-33343.757864176885,-24948.8425913926,-4043.3295855640495
jazz,-2861.7823104310146,-29675.563345658033,-12701.050223883134,-5332.934001476236,-40625.711469716705,-44765.229458881884,-45459.704670816114,-16110.617298364406,-14995.234808286486,-44246.392667719425,-34171.81443085059,-10798.095206635784
classical,1428.2376459565403,-48673.43892984698,-20840.44523673407,-53252.18636503174,-61054.171713385986,-62127.01505587684,-37788.143162361324,-26364.663488428887,-41215.301131331675,-26850.332752239676,25690.35161114152,37007.98660142557
jazz,-20467.195756506928,-46411.12804402522,-15034.358198343916,-20213.432637527385,-39137.99043506022,-37069.24721875783,-19331.76633417276,-16440.959815408554,-5309.630281232519,-19302.486402997052,-18760.63726104962,-23097.84523880482
jazz,-2904.9747249882207,-11705.42746287812,-15207.422071732128,-53955.905211519355,-33574.77810894937,-30792.146996076463,-50965.66004971494,-32035.47164082181,-5592.4061092907805,687.9145808042585,-6008.059849600692,-13571.711169488177
jazz,-7320.46436012982,-22023.740707661193,2616.6237139048562,-37174.9143260562,-40462.937311414586,-26385.87791501603,-20478.564004425854,-20728.39197040656,20091.28277009756,19590.057068090915,-25268.34553356491,-68606.02294553298
