genre,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31
blues,3260988.0,3711805.0,1646244.0,985274.0,672174.0,697769.0,586432.0,394288.0,360416.0,443445.0,326226.0,266872.0,304258.0,249552.0,233550.0,196260.0,192039.0,175535.0,178644.0,147257.0,198564.0,149073.0,115629.0,78689.0,75627.0,100494.0,42408.0,20282.0,6682.0,2154.0,1642.0,1603.0
blues,2856621.0,1668146.0,723684.0,474427.0,169926.0,199398.0,131152.0,90382.0,80854.0,163754.0,70359.0,69610.0,66531.0,72220.0,69056.0,56099.0,74568.0,87219.0,163382.0,119995.0,153699.0,108571.0,70567.0,76755.0,59006.0,64368.0,35966.0,10540.0,4427.0,3714.0,3598.0,3571.0
blues,3960626.0,2832465.0,1811121.0,1325272.0,1323332.0,941966.0,773317.0,504767.0,326963.0,478214.0,555030.0,298320.0,217973.0,183628.0,168705.0,171640.0,163199.0,135530.0,114098.0,109325.0,113873.0,84124.0,77034.0,60155.0,61215.0,39639.0,22439.0,12838.0,4948.0,3782.0,3692.0,3674.0
blues,4326300.0,2124850.0,763659.0,441569.0,442911.0,268646.0,197130.0,161511.0,109578.0,131848.0,174425.0,149717.0,112824.0,103315.0,92874.0,98677.0,95703.0,94221.0,90855.0,91097.0,92706.0,75620.0,70676.0,64957.0,50950.0,37014.0,16943.0,7214.0,2379.0,580.0,362.0,348.0
blues,1110428.0,1557914.0,1604623.0,1332831.0,646779.0,912117.0,349301.0,405680.0,233827.0,396113.0,406311.0,295425.0,206908.0,246745.0,248930.0,309205.0,231027.0,191885.0,171634.0,122273.0,103233.0,80000.0,64276.0,54065.0,42472.0,22409.0,9388.0,3639.0,1165.0,254.0,94.0,80.0
blues,1467891.0,1366321.0,1152493.0,501496.0,359858.0,359525.0,235593.0,207253.0,169801.0,141533.0,127308.0,140016.0,136900.0,126712.0,70483.0,69774.0,52393.0,50541.0,38602.0,40328.0,52698.0,41720.0,20860.0,15881.0,10608.0,6568.0,3499.0,1770.0,881.0,694.0,614.0,604.0
blues,2421591.0,1898682.0,730490.0,702397.0,1462450.0,1662933.0,1510851.0,1155874.0,464819.0,257090.0,225749.0,134443.0,115543.0,96192.0,75876.0,60956.0,48452.0,43496.0,39742.0,34246.0,26440.0,20700.0,15186.0,11039.0,7769.0,5265.0,2451.0,1166.0,404.0,153.0,95.0,84.0
blues,3596788.0,1865617.0,1056487.0,670850.0,719303.0,537668.0,639754.0,411027.0,285036.0,261465.0,179416.0,98855.0,88392.0,88653.0,100220.0,100370.0,90100.0,75524.0,59062.0,51495.0,39619.0,43073.0,32819.0,20135.0,11219.0,7649.0,4060.0,1811.0,735.0,544.0,529.0,529.0
blues,3910026.0,2010817.0,1553748.0,586379.0,667219.0,616318.0,525633.0,505721.0,406210.0,480117.0,322242.0,231675.0,175860.0,206893.0,199215.0,186396.0,170589.0,195997.0,160377.0,142412.0,143748.0,151904.0,141115.0,128058.0,71133.0,47115.0,24860.0,12641.0,4827.0,3499.0,3412.0,3418.0
blues,734547.0,315448.0,228404.0,114798.0,80690.0,99468.0,57670.0,57137.0,56551.0,120371.0,102496.0,91484.0,59294.0,92976.0,68583.0,53856.0,50629.0,54032.0,72607.0,59954.0,37802.0,23472.0,18630.0,12411.0,9313.0,6610.0,4024.0,1904.0,886.0,673.0,655.0,651.0
blues,2351587.0,2914523.0,3002854.0,1152228.0,840617.0,749830.0,590210.0,611414.0,443857.0,234103.0,180210.0,148530.0,218421.0,124764.0,151603.0,106767.0,91998.0,64421.0,66784.0,58408.0,55544.0,46376.0,46276.0,34382.0,19831.0,13898.0,8047.0,6449.0,6176.0,6107.0,6077.0,6063.0
blues,1944606.0,818090.0,452020.0,265652.0,198969.0,121544.0,120967.0,57970.0,59947.0,69994.0,89226.0,71044.0,61646.0,86455.0,54051.0,53428.0,59301.0,57333.0,44647.0,52485.0,51681.0,51385.0,47844.0,40744.0,23171.0,15676.0,7931.0,4869.0,2854.0,2715.0,2702.0,2696.0
blues,3332467.0,1112590.0,299012.0,297548.0,282822.0,222337.0,208416.0,245952.0,266663.0,177849.0,144807.0,192723.0,87312.0,53608.0,54769.0,38772.0,27875.0,23686.0,24140.0,18860.0,14086.0,13783.0,13921.0,11800.0,9504.0,6284.0,5069.0,4264.0,4027.0,3982.0,3968.0,3960.0
blues,2718881.0,1745554.0,416946.0,293920.0,183549.0,137731.0,119805.0,199635.0,215012.0,181826.0,105711.0,47963.0,36892.0,33435.0,30742.0,30183.0,29337.0,28935.0,28318.0,28963.0,27969.0,28808.0,27670.0,26146.0,20461.0,12371.0,7818.0,4245.0,2598.0,2385.0,2340.0,2336.0
blues,1322586.0,2173239.0,565432.0,767231.0,1112303.0,421590.0,157011.0,205753.0,149572.0,280307.0,147273.0,215140.0,62609.0,47158.0,53950.0,58540.0,65445.0,34882.0,16744.0,13476.0,11358.0,10274.0,9987.0,8898.0,7092.0,4281.0,2680.0,1605.0,1166.0,1077.0,1057.0,1053.0
blues,1706946.0,1285869.0,690753.0,866165.0,762350.0,193920.0,149583.0,342760.0,529337.0,524664.0,373452.0,351654.0,275952.0,170042.0,66025.0,67040.0,83047.0,69691.0,58891.0,51371.0,51816.0,45265.0,28900.0,27586.0,24588.0,11083.0,6685.0,4742.0,4279.0,4168.0,4138.0,4123.0
blues,1539518.0,1222184.0,468994.0,384785.0,437394.0,109425.0,62090.0,105056.0,113290.0,172437.0,94067.0,45857.0,23252.0,20785.0,19934.0,19928.0,19638.0,18446.0,17688.0,17652.0,17477.0,17084.0,17608.0,16075.0,12950.0,7577.0,4541.0,2387.0,1242.0,986.0,963.0,961.0
blues,2425773.0,1860695.0,326697.0,343177.0,756182.0,479689.0,196589.0,541938.0,521645.0,469068.0,173327.0,54360.0,58068.0,57614.0,45341.0,37514.0,35924.0,25499.0,21861.0,23145.0,28440.0,27983.0,26730.0,15300.0,10368.0,7986.0,6517.0,5791.0,5397.0,5247.0,5180.0,5146.0
blues,1165148.0,1655697.0,720953.0,657393.0,682258.0,258092.0,92904.0,165858.0,344588.0,530174.0,387607.0,117428.0,66729.0,35127.0,39530.0,34101.0,34419.0,36049.0,31824.0,35156.0,29606.0,27887.0,25916.0,22814.0,20112.0,10790.0,6879.0,3627.0,2073.0,1767.0,1734.0,1736.0
blues,2383110.0,1292344.0,194126.0,149913.0,130462.0,101741.0,89626.0,88750.0,105591.0,113006.0,93583.0,247376.0,45298.0,23074.0,15109.0,11957.0,12936.0,11194.0,9945.0,9582.0,9106.0,9209.0,13545.0,9634.0,7276.0,3976.0,2802.0,2066.0,1804.0,1754.0,1742.0,1737.0
blues,1855742.0,1163890.0,278022.0,214360.0,142315.0,118893.0,70650.0,82569.0,94438.0,75487.0,77168.0,101685.0,35228.0,28952.0,26504.0,24749.0,22971.0,23509.0,23505.0,22589.0,23952.0,23702.0,22875.0,22005.0,17103.0,9735.0,6118.0,3190.0,1655.0,1329.0,1298.0,1297.0
blues,2555561.0,1272899.0,834650.0,728629.0,765081.0,855457.0,344302.0,394471.0,822268.0,504379.0,781959.0,368898.0,100557.0,61174.0,64343.0,71624.0,72088.0,61672.0,45802.0,30116.0,39675.0,26074.0,25949.0,21878.0,20937.0,13471.0,7134.0,4376.0,3795.0,3643.0,3620.0,3607.0
