genre,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31
blues,4275367.0,4739940.0,2330577.0,1528747.0,978196.0,858325.0,761363.0,571768.0,471087.0,531313.0,393380.0,309041.0,347256.0,289946.0,268285.0,220375.0,219861.0,197328.0,196884.0,181495.0,238773.0,179118.0,131905.0,90065.0,87138.0,129998.0,48638.0,23299.0,8647.0,5081.0,4831.0,4814.0
blues,3442514.0,2360355.0,1183002.0,761485.0,346793.0,272910.0,204561.0,172273.0,127433.0,193794.0,107902.0,98943.0,102158.0,99564.0,91663.0,79451.0,109146.0,146149.0,238167.0,193071.0,228317.0,192387.0,126041.0,117074.0,92053.0,98770.0,43861.0,12757.0,3821.0,1059.0,744.0,741.0
blues,5641832.0,4157793.0,2861360.0,2046328.0,1883072.0,1461042.0,1030577.0,729372.0,443271.0,837723.0,1086488.0,426200.0,339865.0,306892.0,277094.0,263279.0,246785.0,243525.0,202870.0,183837.0,183803.0,117443.0,104885.0,80612.0,82553.0,54250.0,34376.0,16914.0,6224.0,4126.0,3970.0,3954.0
blues,5120169.0,2586576.0,968165.0,533631.0,541363.0,354869.0,256303.0,219139.0,144706.0,165050.0,197042.0,172635.0,132945.0,139783.0,114699.0,119503.0,106825.0,114259.0,118641.0,121615.0,123254.0,94754.0,87149.0,80602.0,69780.0,51888.0,22690.0,10021.0,3434.0,1646.0,1547.0,1543.0
blues,1457226.0,2327979.0,1863049.0,2181837.0,1324177.0,1855111.0,499321.0,611631.0,322475.0,583689.0,506903.0,445282.0,328334.0,344861.0,383967.0,384135.0,271173.0,244547.0,177028.0,149361.0,110008.0,86978.0,69564.0,62948.0,48612.0,25388.0,14133.0,4809.0,1948.0,898.0,848.0,846.0
blues,1818943.0,1468266.0,1198112.0,535940.0,394331.0,376655.0,259383.0,228529.0,182455.0,159523.0,142338.0,156359.0,150634.0,139436.0,91792.0,91750.0,80947.0,66364.0,66226.0,74896.0,67501.0,60652.0,39535.0,33110.0,23186.0,15220.0,10281.0,4654.0,1341.0,573.0,419.0,407.0
blues,2904249.0,3789243.0,3178860.0,2110980.0,1742481.0,1678880.0,1669345.0,1209186.0,548120.0,393617.0,411591.0,509568.0,299679.0,179487.0,131971.0,100669.0,133666.0,239886.0,222666.0,100071.0,78412.0,80396.0,54805.0,33078.0,26090.0,16848.0,6975.0,3031.0,1623.0,1414.0,1406.0,1394.0
blues,4475653.0,3982735.0,5361267.0,3601140.0,1363232.0,832478.0,1074612.0,1120541.0,765823.0,1010384.0,694949.0,781253.0,303944.0,162683.0,220967.0,310406.0,409635.0,294128.0,244343.0,141314.0,139500.0,143276.0,129246.0,82720.0,79030.0,35367.0,17055.0,5688.0,1712.0,486.0,295.0,288.0
blues,4970328.0,2538990.0,2301849.0,1044417.0,896457.0,823568.0,664616.0,634142.0,597675.0,662273.0,393845.0,316624.0,229601.0,293146.0,299037.0,232010.0,197513.0,228029.0,192321.0,183382.0,179029.0,183641.0,174378.0,153249.0,87897.0,56811.0,30372.0,15736.0,7759.0,6579.0,6552.0,6573.0
blues,1262564.0,3075487.0,1882883.0,1705891.0,614114.0,258820.0,296754.0,320435.0,349848.0,418011.0,849642.0,366324.0,144739.0,183910.0,248379.0,201543.0,134342.0,146965.0,199365.0,154609.0,120268.0,95454.0,43541.0,24140.0,16472.0,12008.0,6565.0,2637.0,1141.0,772.0,744.0,740.0
