genre,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31
classical,1226218.0,629216.0,346398.0,221449.0,86458.0,102074.0,75059.0,83841.0,36826.0,34198.0,48679.0,31261.0,28166.0,18127.0,9283.0,21042.0,10145.0,5301.0,6322.0,5185.0,5286.0,2883.0,2275.0,4543.0,1775.0,1771.0,1062.0,1266.0,735.0,388.0,381.0,379.0
classical,1815454.0,705419.0,266022.0,187309.0,63982.0,68818.0,76464.0,74341.0,19995.0,30845.0,58249.0,26735.0,20592.0,19486.0,6884.0,19469.0,5777.0,6238.0,5028.0,4993.0,6583.0,2462.0,2419.0,3207.0,2021.0,1882.0,1217.0,1548.0,983.0,842.0,835.0,835.0
classical,2428871.0,648526.0,253097.0,150744.0,84265.0,68577.0,91894.0,62136.0,32978.0,39293.0,37183.0,21132.0,25250.0,20302.0,7961.0,15709.0,6576.0,6081.0,4954.0,4046.0,6792.0,2423.0,2311.0,2673.0,2214.0,1782.0,1357.0,1586.0,1054.0,896.0,893.0,888.0
classical,3359848.0,1033822.0,422106.0,202164.0,149062.0,125006.0,107189.0,70336.0,56273.0,70448.0,67790.0,38790.0,33334.0,35601.0,15562.0,16050.0,16534.0,10558.0,7607.0,9429.0,9369.0,4757.0,3857.0,4351.0,3057.0,2232.0,1953.0,2351.0,1718.0,1671.0,1665.0,1670.0
classical,4076098.0,1641973.0,866590.0,482195.0,295200.0,283102.0,212380.0,158232.0,123770.0,132780.0,139792.0,74421.0,58693.0,68016.0,29479.0,34792.0,26394.0,20984.0,14403.0,16206.0,16197.0,8784.0,7368.0,8563.0,5589.0,4036.0,3137.0,3510.0,2817.0,2806.0,2794.0,2791.0
classical,1478336.0,1423584.0,393474.0,394647.0,374490.0,166123.0,61324.0,36065.0,36949.0,25069.0,23163.0,21162.0,15605.0,13434.0,11722.0,9190.0,9509.0,8777.0,6223.0,5900.0,5418.0,4561.0,4054.0,3905.0,3244.0,2909.0,2526.0,2007.0,1767.0,1391.0,1380.0,1381.0
classical,1921554.0,1352367.0,664007.0,480216.0,458667.0,209542.0,70321.0,43710.0,58139.0,34111.0,36779.0,26793.0,24387.0,15730.0,15563.0,13648.0,11250.0,10467.0,7487.0,8041.0,6453.0,5115.0,5619.0,4956.0,4835.0,4140.0,3367.0,2881.0,2250.0,1640.0,1628.0,1631.0
classical,2018759.0,2315798.0,908483.0,526699.0,510515.0,216855.0,72260.0,49705.0,43336.0,39132.0,35341.0,27494.0,21458.0,17501.0,15157.0,10541.0,9788.0,8076.0,7158.0,7239.0,5731.0,4623.0,4622.0,4622.0,4231.0,3054.0,2648.0,1736.0,1188.0,186.0,184.0,177.0
classical,2008025.0,2553141.0,1219089.0,670548.0,507574.0,233657.0,91082.0,50224.0,58023.0,44199.0,39624.0,34737.0,24562.0,21740.0,17958.0,12682.0,13145.0,10944.0,9522.0,8755.0,6700.0,6001.0,5882.0,5141.0,5475.0,3406.0,3590.0,3100.0,1027.0,791.0,788.0,783.0
classical,1788302.0,1300121.0,676741.0,585566.0,468751.0,199960.0,68519.0,47128.0,45615.0,38685.0,33310.0,27406.0,22829.0,19375.0,14548.0,11158.0,9510.0,8314.0,7838.0,6351.0,6031.0,5138.0,4773.0,4297.0,3843.0,3266.0,2454.0,1912.0,1439.0,538.0,505.0,506.0
classical,3228923.0,2120812.0,1084561.0,752396.0,453756.0,317600.0,201917.0,137819.0,88315.0,78106.0,61563.0,47505.0,41840.0,32744.0,28787.0,23673.0,22504.0,16746.0,14954.0,13392.0,11156.0,9764.0,8694.0,8451.0,7181.0,5648.0,5853.0,4779.0,3089.0,1767.0,1756.0,1750.0
classical,3923246.0,2225595.0,1148389.0,834239.0,523567.0,340789.0,232357.0,142244.0,100879.0,93278.0,65042.0,48693.0,48715.0,34659.0,30189.0,26717.0,23241.0,18822.0,17289.0,17820.0,11477.0,10985.0,10613.0,9056.0,6642.0,5903.0,6588.0,5090.0,3223.0,354.0,298.0,296.0
classical,3515341.0,1619760.0,806215.0,515455.0,283561.0,212511.0,115811.0,65743.0,49712.0,38531.0,27125.0,22810.0,17392.0,16950.0,13802.0,11225.0,10426.0,9247.0,7701.0,6945.0,5798.0,5593.0,5146.0,4771.0,4263.0,3470.0,3307.0,2840.0,1972.0,1662.0,1675.0,1675.0
classical,930122.0,933544.0,633954.0,480839.0,304273.0,179093.0,109081.0,74409.0,53299.0,40559.0,28061.0,22848.0,16704.0,15644.0,12068.0,9105.0,8206.0,7016.0,5595.0,5283.0,4336.0,3851.0,3713.0,2926.0,2620.0,2418.0,2312.0,2052.0,1790.0,692.0,686.0,688.0
classical,3885169.0,2243174.0,1212061.0,817838.0,473718.0,342437.0,209154.0,149723.0,97664.0,94279.0,62678.0,46880.0,41179.0,35858.0,30401.0,26678.0,23403.0,19350.0,16723.0,14859.0,12346.0,11523.0,10030.0,9382.0,8414.0,6489.0,6436.0,5767.0,3774.0,1966.0,1956.0,1945.0
classical,1294260.0,1017563.0,586321.0,632680.0,303292.0,215956.0,155878.0,99332.0,61111.0,63453.0,47372.0,26610.0,27105.0,18353.0,15469.0,13459.0,12397.0,8289.0,8197.0,5402.0,5091.0,4444.0,3039.0,2311.0,2217.0,1184.0,1198.0,1245.0,738.0,197.0,191.0,185.0
classical,1107757.0,879210.0,568000.0,493310.0,253382.0,232611.0,117270.0,78908.0,58621.0,50221.0,34734.0,24737.0,17100.0,12065.0,11950.0,8709.0,9112.0,6772.0,5129.0,4554.0,3487.0,3074.0,2144.0,1291.0,1396.0,870.0,647.0,528.0,486.0,435.0,428.0,429.0
classical,668989.0,528095.0,329047.0,278691.0,157306.0,111689.0,65126.0,40900.0,41562.0,24712.0,23352.0,14148.0,12485.0,8574.0,7169.0,5962.0,4873.0,4697.0,4260.0,2494.0,2419.0,2420.0,1744.0,1027.0,1094.0,683.0,481.0,613.0,444.0,282.0,277.0,279.0
classical,461743.0,152368.0,72584.0,50386.0,24336.0,18922.0,8749.0,4985.0,3188.0,2734.0,1858.0,1291.0,1020.0,906.0,823.0,750.0,770.0,656.0,607.0,566.0,510.0,489.0,474.0,436.0,430.0,416.0,407.0,398.0,377.0,170.0,167.0,162.0
classical,549945.0,219979.0,136338.0,107786.0,55796.0,41641.0,22018.0,13492.0,8419.0,7821.0,4127.0,3473.0,2692.0,1898.0,1455.0,1288.0,1397.0,993.0,888.0,780.0,659.0,602.0,580.0,500.0,442.0,417.0,419.0,395.0,376.0,237.0,238.0,234.0
classical,8514814.0,4297765.0,2301235.0,1801908.0,1021921.0,1047682.0,665157.0,569834.0,499647.0,452243.0,459752.0,414489.0,432155.0,393084.0,399651.0,397265.0,354044.0,354071.0,366418.0,310915.0,279473.0,233391.0,219634.0,208153.0,168814.0,145009.0,122611.0,86929.0,55421.0,2906.0,1371.0,1370.0
classical,6855956.0,3336904.0,2087334.0,1258995.0,922245.0,650460.0,367832.0,326319.0,229675.0,198105.0,184099.0,171414.0,155747.0,142686.0,133544.0,131812.0,129987.0,131539.0,124740.0,105339.0,94075.0,76669.0,74414.0,62878.0,65986.0,43033.0,42196.0,27993.0,19089.0,3884.0,3785.0,3777.0
classical,3336918.0,2045830.0,1801407.0,739496.0,621789.0,450179.0,151939.0,225199.0,149732.0,68271.0,88475.0,64259.0,37853.0,46512.0,34181.0,27621.0,23512.0,20314.0,22145.0,11713.0,13815.0,12241.0,8718.0,11221.0,8603.0,3623.0,4118.0,2383.0,1230.0,735.0,720.0,722.0
classical,6999277.0,3849878.0,2728502.0,1668049.0,1028191.0,938375.0,473893.0,248189.0,291800.0,150887.0,171473.0,102285.0,97560.0,82163.0,43248.0,58335.0,30452.0,40838.0,27658.0,30218.0,23344.0,16882.0,22062.0,14036.0,15026.0,5901.0,6074.0,3761.0,1652.0,205.0,186.0,181.0
